pokemon
puyo
katamari
castlevania
donkey kong
final fantasy
kid icarus
kirby
mario
metroid
tony hawk
wario
yoshi
zelda
advance wars
crash bandicoot
f-zero
fire emblem
golden sun
harvest moon
mega man
metal slug
metroid
need for speed
rayman
rebelstar
sonic
space invaders
spyro
monkey ball
geometry wars
ace attorney
gta
animal crossing
resident evil
luigi
pikmin
metal gear
micro machines
grand theft auto
halo
