Buck Bumble	Geist	Astrolancer	Deadly Premonition: Director’s Cut	Balloon Kid	Blackthorne	Battletoads	 Chrono Trigger	The Plucky Squire	Calling	Blood of Bahamut	Code Name STEAM	Cars 3	Dead Head Fred	Football Game	CABAL	Midwinter II: Flames of Freedom	BatteTech: A Game of Armored Combat	Atelier Iris	Legendary Axe	Blues Journey/Raguy	Cloud Masteras	Bomber Hehhe!	Ball Breakers	Beyond Good and Evil	Divinity II: The Dragon Knight Saga	Trial of the Sorcerer	Boogie Wings
Castlevania: Legacy of Darkness	Gladius	Back to the Dawn	Disgaea D2: A Bright Darkness	Balloon Fight	Blendre bros	Bionic Commando	 Contra III - The Alien Wars	Little Kitty: Big City	Cruisin	Boulder Dash Rocks	Code of Princess	Devil's Third	Disgaea - Afternoon of Darkness	GRAVITY RUSH	Carrier command	Blob	Battle Mania/Trouble Shooter Series	Bard’s Tale	Lords of the Rising Sun	Breakers	Cyborg Hunter	Bomberman Online	Ballistic	Blinx	Enchanted Arms	Wizards Rule	Bullet
Chameleon Twist	Godzilla: Destroy All Monsters Melee	Bat Boy	Dragon's Crown	Banishing Racer	Boktai: The Sun is in Your Hand	Blaster Master	 Death and Return of Superman	A Short Hike	Cursed Mountain	Chronos twin	Corpse Party	Ducktales remastered	Dissidia 012 - Duodecim Final Fantasy	Jet Set Radio	CASTLE MASTER	Shadowlands	Battletoads	Battle Engine Aquila	Lords of Thunder	Breakers Revenge	Double Dragon	Border Down	Bloody Roar 2: The New Breed	Blood Omen 2	Eternal Sonata		Change Air Blade
Charlie Blasta's Territory	Gotcha Force	Bears in Space	Enchanted Arms	Battle Arena Toshinden	Bookworm	Bubble Bobble	 Demon's Crest	Sea Of Stars	Dawn of Discovery	Contact	Crashmo	Elliot Quest	Echochrome	Knytt Underground	CAULDRON	Storm Master	Beggar Prince	Berserk	Military Madness	Bust-A-Move/Puzzle Bobble	Enduro Racer	Bust-A-Move 4	Boombots	Breakdown	F.E.A.R.		Cotton 2: Magical Night Dreams
Conker’s Bad Fur Day	Ikaruga	Beat Slayer	Enslaved: Odyssey to the West	Battle Crusher	Boulder Dash EX	Captain America and the Avengers	 E.V.O. - Search for Eden	Neon White	De Blob	Contra 4	Crimson Shroud	Fast Racing Neo	Every Extend Extra	LittleBigPlanet	Chase HQ	Statix	Beyond Oasis	Blood Will Tell	Neutopia	Captain Tomaday	Gangster Town	Cannon Spike	Brave Fencer Musashi	Broken Sword: The Sleeping Dragon	Fatal Frame II: Crimson Butterfly		Crazy Climber 2
Destruction Derby 64	Killer7	Berserk Boy	Eternal Sonata	Battle Unit Zeoth	Boxing Fever	Chip n’ Dale Rescue Rangers	 EarthBound	Bear And Breakfast	Dead Space Extraction	Cookie & Cream	Crush	Game & Wario	Exit	Lost Dimension	CHUCKIE EGG 2	Apocalypse	Biohazard Battle	Bloody Roar 3	Ninja Spirit	Crossed Swords	Global Defense	Capcom vs SNK	Bugs Bunny & Taz: Time Busters	Brute Force	Gears Of War: Judgment		Dark Edge
Dezaemon 3D	Kinnikuman Legends	blur	Fat Princess	Bionic Commando: Elite Forces	Breath of Fire Series	Clash at Demonhead	 Earthworm Jim	Dave The Diver	Deadly Creatures	core	Culdcept Revolt	Giana Sisters	Gradius Collection	MOTORSTORM RC	COBRA	RoboCop 3	Bishoujo Senshi Sailor Moon	Bombastic	Parasol Stars	Cyber Lip	Golvellius Valley of Doom	Carrier	Bugs Bunny: Lost in Time	Buffy the Vampire Slayer	Infinite Undiscovery		Defender
Diddy Kong Racing	Lord of the Rings Return of the King	Book of Travels	Folklore	Bomber King 2	Broken Sword: The Shadow of the Templars	Codename: Viper	 Earthworm Jim 2	InnerSpace	Death Jr	Corpse Party	Devil Survivor 1 & 2	Lego City Undercover	Gunpey	Muramasa Rebirth	CONTACT SAM CRUISE	Pacific Islands	Bonanza Brothers	Breath of Fire: Dragon Quarter	Pomping World / Buster Brothers	Double Dragon	Hang-On	Castle of Shikigami 2	Builders Block	Call of Cthulhu: Dark Corners of the Earth	Kingdoms Of Amalur: Reckoning		Dig Dug
F-1 World Grand Prix	Lost Kingdoms	Break The Loop	Heavenly Sword	Blaster Master Boy	Bruce Lee: Return of the Legend	Contra	 Fatal Fury 2	SpiritSphere DX	Dewy's adventure	Crimson Shroud	Dragon Ball Z: Extreme Butoden	Liberation Maiden	Gurumin - A Monstrous Adventure	Mystery Chronicle One Way Heroics 	DAN DARE 3	Fireforce	Buck Rogers: Countdown to Doomsday	Bujingai: The Forsaken City	R-Type	Eight Man	Jurassic Park	Chaos Field	Bushido Blade	Cold Fear	Lost Odyssey		Drift Out '94
Forsaken 64	Metal Arms	Breathedge	Kingdoms of Amalur: Reckoning	Blaster Master: Enemy Below	Bubble Bobble: Old and New	Crystalis	 Final Fight	Lost Sphear	Disney Guilty Party	Dragon Quest Heroes: Rocket Slime	Dragon Quest VIII	Nano Assault Neo	Hakuoki - Demon of the Fleeting Blossom	Neon Chrome	DEFLEKTOR	Deliverance	Cannon Fodder	Castle Shikigami 2	S.L.A.I.: Steel Lancer Arena International	Fatal Fury Series	Kenseiden	Charge N Blast	Bushido Blade 2	Conker: Live and Reloaded	Magna Carta 2		Enforce
